Tipo dato,Misura,Ordine scolastico,Tipo di scuola superiore,Territorio,Seleziona periodo,Gestione della scuola,0,Flags
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2011","totale",247,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2012","totale",251,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2013","totale",252,
"numero di scuole","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2014","totale",243,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2009","totale",326,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2010","totale",330,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2011","totale",350,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2012","totale",368,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2013","totale",376,
"numero di scuole","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2014","totale",374,
"numero di scuole","valori assoluti","secondaria II grado","liceo scientifico","Italia","2009","totale",1214,
"numero di scuole","valori assoluti","secondaria II grado","liceo scientifico","Italia","2010","totale",1235,
"numero di scuole","valori assoluti","secondaria II grado","liceo scientifico","Italia","2011","totale",1269,
"numero di scuole","valori assoluti","secondaria II grado","liceo scientifico","Italia","2012","totale",1315,
"numero di scuole","valori assoluti","secondaria II grado","liceo scientifico","Italia","2013","totale",1365,
"numero di scuole","valori assoluti","secondaria II grado","liceo scientifico","Italia","2014","totale",1364,
"numero di scuole","valori assoluti","secondaria II grado","liceo classico","Italia","2009","totale",675,
"numero di scuole","valori assoluti","secondaria II grado","liceo classico","Italia","2010","totale",679,
"numero di scuole","valori assoluti","secondaria II grado","liceo classico","Italia","2011","totale",680,
"numero di scuole","valori assoluti","secondaria II grado","liceo classico","Italia","2012","totale",681,
"numero di scuole","valori assoluti","secondaria II grado","liceo classico","Italia","2013","totale",684,
"numero di scuole","valori assoluti","secondaria II grado","liceo classico","Italia","2014","totale",661,
"numero di scuole","valori assoluti","secondaria II grado","liceo linguistico","Italia","2009","totale",178,
"numero di scuole","valori assoluti","secondaria II grado","liceo linguistico","Italia","2010","totale",177,
"numero di scuole","valori assoluti","secondaria II grado","liceo linguistico","Italia","2011","totale",183,
"numero di scuole","valori assoluti","secondaria II grado","liceo linguistico","Italia","2012","totale",186,
"numero di scuole","valori assoluti","secondaria II grado","liceo linguistico","Italia","2013","totale",183,
"numero di scuole","valori assoluti","secondaria II grado","liceo linguistico","Italia","2014","totale",176,
"numero di scuole","valori assoluti","secondaria II grado","istituto d arte","Italia","2009","totale",184,
"numero di scuole","valori assoluti","secondaria II grado","istituto d arte","Italia","2010","totale",181,
"numero di scuole","valori assoluti","secondaria II grado","istituto d arte","Italia","2011","totale",179,
"numero di scuole","valori assoluti","secondaria II grado","istituto d arte","Italia","2012","totale",178,
"numero di scuole","valori assoluti","secondaria II grado","istituto d arte","Italia","2013","totale",176,
"numero di scuole","valori assoluti","secondaria II grado","istituto d arte","Italia","2014","totale",174,
"numero di scuole","valori assoluti","secondaria II grado","liceo artistico","Italia","2009","totale",135,
"numero di scuole","valori assoluti","secondaria II grado","liceo artistico","Italia","2010","totale",136,
"numero di scuole","valori assoluti","secondaria II grado","liceo artistico","Italia","2011","totale",145,
"numero di scuole","valori assoluti","secondaria II grado","liceo artistico","Italia","2012","totale",168,
"numero di scuole","valori assoluti","secondaria II grado","liceo artistico","Italia","2013","totale",168,
"numero di scuole","valori assoluti","secondaria II grado","liceo artistico","Italia","2014","totale",166,
"numero di scuole","valori assoluti","secondaria II grado","totale","Italia","2009","totale",6809,
"numero di scuole","valori assoluti","secondaria II grado","totale","Italia","2010","totale",6846,
"numero di scuole","valori assoluti","secondaria II grado","totale","Italia","2011","totale",6876,
"numero di scuole","valori assoluti","secondaria II grado","totale","Italia","2012","totale",7058,
"numero di scuole","valori assoluti","secondaria II grado","totale","Italia","2013","totale",7105,
"numero di scuole","valori assoluti","secondaria II grado","totale","Italia","2014","totale",7041,
"numero di classi","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2009","totale",10293,
"numero di classi","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2010","totale",10054,
"numero di classi","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2011","totale",9973,
"numero di classi","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2012","totale",9975,
"numero di classi","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2013","totale",9970,
"numero di classi","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2014","totale",9995,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2009","totale",9398,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2010","totale",9160,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2011","totale",8918,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2012","totale",8633,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2013","totale",8429,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2014","totale",8376,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2009","totale",8208,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2010","totale",8003,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2011","totale",7773,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2012","totale",7327,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2013","totale",7085,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2014","totale",6822,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2009","totale",6696,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2010","totale",7009,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2011","totale",7274,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2012","totale",7611,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2013","totale",7959,
"numero di classi","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2014","totale",8310,
"numero di classi","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2009","totale",3805,
"numero di classi","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2010","totale",3687,
"numero di classi","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2011","totale",3286,
"numero di classi","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2012","totale",3214,
"numero di classi","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2013","totale",3193,
"numero di classi","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2014","totale",3248,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2009","totale",13942,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2010","totale",13568,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2011","totale",13343,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2012","totale",13556,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2013","totale",13985,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2014","totale",14394,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2009","totale",22823,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2010","totale",22235,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2011","totale",21740,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2012","totale",21461,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2013","totale",21273,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2014","totale",20824,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2009","totale",3460,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2010","totale",3355,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2011","totale",3263,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2012","totale",3091,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2013","totale",2936,
"numero di classi","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2014","totale",2656,
"numero di classi","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2009","totale",4861,
"numero di classi","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2010","totale",4936,
"numero di classi","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2011","totale",4924,
"numero di classi","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2012","totale",4978,
"numero di classi","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2013","totale",5072,
"numero di classi","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2014","totale",5164,
"numero di classi","valori assoluti","secondaria II grado","liceo scientifico","Italia","2009","totale",27641,
"numero di classi","valori assoluti","secondaria II grado","liceo scientifico","Italia","2010","totale",27454,
"numero di classi","valori assoluti","secondaria II grado","liceo scientifico","Italia","2011","totale",27219,
"numero di classi","valori assoluti","secondaria II grado","liceo scientifico","Italia","2012","totale",27035,
"numero di classi","valori assoluti","secondaria II grado","liceo scientifico","Italia","2013","totale",27197,
"numero di classi","valori assoluti","secondaria II grado","liceo scientifico","Italia","2014","totale",27348,
"numero di classi","valori assoluti","secondaria II grado","liceo classico","Italia","2009","totale",13356,
"numero di classi","valori assoluti","secondaria II grado","liceo classico","Italia","2010","totale",13091,
"numero di classi","valori assoluti","secondaria II grado","liceo classico","Italia","2011","totale",12967,
"numero di classi","valori assoluti","secondaria II grado","liceo classico","Italia","2012","totale",12774,
"numero di classi","valori assoluti","secondaria II grado","liceo classico","Italia","2013","totale",12791,
"numero di classi","valori assoluti","secondaria II grado","liceo classico","Italia","2014","totale",12535,
"numero di classi","valori assoluti","secondaria II grado","liceo linguistico","Italia","2009","totale",1067,
"numero di classi","valori assoluti","secondaria II grado","liceo linguistico","Italia","2010","totale",1089,
"numero di classi","valori assoluti","secondaria II grado","liceo linguistico","Italia","2011","totale",1037,
"numero di classi","valori assoluti","secondaria II grado","liceo linguistico","Italia","2012","totale",1040,
"numero di classi","valori assoluti","secondaria II grado","liceo linguistico","Italia","2013","totale",1062,
"numero di classi","valori assoluti","secondaria II grado","liceo linguistico","Italia","2014","totale",921,
"numero di classi","valori assoluti","secondaria II grado","istituto d arte","Italia","2009","totale",3063,
"numero di classi","valori assoluti","secondaria II grado","istituto d arte","Italia","2010","totale",2874,
"numero di classi","valori assoluti","secondaria II grado","istituto d arte","Italia","2011","totale",2819,
"numero di classi","valori assoluti","secondaria II grado","istituto d arte","Italia","2012","totale",2718,
"numero di classi","valori assoluti","secondaria II grado","istituto d arte","Italia","2013","totale",2789,
"numero di classi","valori assoluti","secondaria II grado","istituto d arte","Italia","2014","totale",2827,
"numero di classi","valori assoluti","secondaria II grado","liceo artistico","Italia","2009","totale",2171,
"numero di classi","valori assoluti","secondaria II grado","liceo artistico","Italia","2010","totale",2091,
"numero di classi","valori assoluti","secondaria II grado","liceo artistico","Italia","2011","totale",2120,
"numero di classi","valori assoluti","secondaria II grado","liceo artistico","Italia","2012","totale",2230,
"numero di classi","valori assoluti","secondaria II grado","liceo artistico","Italia","2013","totale",2315,
"numero di classi","valori assoluti","secondaria II grado","liceo artistico","Italia","2014","totale",2430,
"numero di classi","valori assoluti","secondaria II grado","totale","Italia","2009","totale",130784,
"numero di classi","valori assoluti","secondaria II grado","totale","Italia","2010","totale",128606,
"numero di classi","valori assoluti","secondaria II grado","totale","Italia","2011","totale",126656,
"numero di classi","valori assoluti","secondaria II grado","totale","Italia","2012","totale",125643,
"numero di classi","valori assoluti","secondaria II grado","totale","Italia","2013","totale",126056,
"numero di classi","valori assoluti","secondaria II grado","totale","Italia","2014","totale",125850,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2009","totale",220891,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2010","totale",215721,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2011","totale",215762,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2012","totale",216778,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2013","totale",215088,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","Italia","2014","totale",216252,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2009","totale",173844,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2010","totale",170966,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2011","totale",165091,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2012","totale",160885,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2013","totale",159256,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per l'industria e l'artigianato","Italia","2014","totale",158549,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2009","totale",168429,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2010","totale",165218,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2011","totale",158820,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2012","totale",150094,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2013","totale",145073,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi commerciali","Italia","2014","totale",139947,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2009","totale",145168,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2010","totale",151574,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2011","totale",156535,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2012","totale",163054,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2013","totale",170243,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto professionale per i servizi alberghieri e ristorazione","Italia","2014","totale",179630,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2009","totale",70295,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2010","totale",68145,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2011","totale",62755,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2012","totale",61879,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2013","totale",61141,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti professionali","Italia","2014","totale",62764,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2009","totale",285657,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2010","totale",280469,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2011","totale",277557,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2012","totale",284503,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2013","totale",293196,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico industriale","Italia","2014","totale",302190,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2009","totale",464080,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2010","totale",454890,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2011","totale",449340,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2012","totale",444336,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2013","totale",437912,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico commerciale","Italia","2014","totale",424983,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2009","totale",69356,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2010","totale",66485,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2011","totale",64318,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2012","totale",60383,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2013","totale",56213,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto tecnico per geometri","Italia","2014","totale",50389,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2009","totale",98107,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2010","totale",99439,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2011","totale",101508,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2012","totale",103977,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2013","totale",106261,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","altri istituti tecnici","Italia","2014","totale",108760,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo scientifico","Italia","2009","totale",618632,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo scientifico","Italia","2010","totale",613637,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo scientifico","Italia","2011","totale",613165,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo scientifico","Italia","2012","totale",610301,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo scientifico","Italia","2013","totale",609351,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo scientifico","Italia","2014","totale",609969,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo classico","Italia","2009","totale",292258,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo classico","Italia","2010","totale",286922,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo classico","Italia","2011","totale",285364,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo classico","Italia","2012","totale",283429,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo classico","Italia","2013","totale",281139,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo classico","Italia","2014","totale",275467,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo linguistico","Italia","2009","totale",17357,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo linguistico","Italia","2010","totale",17713,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo linguistico","Italia","2011","totale",17241,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo linguistico","Italia","2012","totale",16704,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo linguistico","Italia","2013","totale",16144,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo linguistico","Italia","2014","totale",13098,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto d arte","Italia","2009","totale",55900,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto d arte","Italia","2010","totale",53216,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto d arte","Italia","2011","totale",51806,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto d arte","Italia","2012","totale",51982,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto d arte","Italia","2013","totale",53138,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","istituto d arte","Italia","2014","totale",54477,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo artistico","Italia","2009","totale",43588,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo artistico","Italia","2010","totale",42701,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo artistico","Italia","2011","totale",43689,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo artistico","Italia","2012","totale",46829,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo artistico","Italia","2013","totale",48293,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","liceo artistico","Italia","2014","totale",50582,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","totale","Italia","2009","totale",2723562,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","totale","Italia","2010","totale",2687096,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","totale","Italia","2011","totale",2662951,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","totale","Italia","2012","totale",2655134,
"iscritti - maschi e femmine","valori assoluti","secondaria II grado","totale","Italia","2013","totale",2652448,
