Tipo dato,Misura,Ordine scolastico,Territorio,Seleziona periodo,Gestione della scuola,0,Flags
"numero di scuole","valori assoluti","primaria","Nord-ovest","2010","privata",360,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2011","privata",451,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2012","privata",375,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2013","privata",377,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2014","privata",375,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2010","totale",4425,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2011","totale",4399,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2012","totale",4380,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2013","totale",4364,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2014","totale",4347,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2010","statale",3976,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2011","statale",3948,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2012","statale",3923,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2013","statale",3904,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2014","statale",3889,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2010","non statale pubblica",89,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2012","non statale pubblica",82,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2013","non statale pubblica",83,
"numero di scuole","valori assoluti","primaria","Nord-ovest","2014","non statale pubblica",83,
"numero di scuole","valori assoluti","primaria","Piemonte","2010","pubblica",1329,
"numero di scuole","valori assoluti","primaria","Piemonte","2011","pubblica",1312,
"numero di scuole","valori assoluti","primaria","Piemonte","2012","pubblica",1300,
"numero di scuole","valori assoluti","primaria","Piemonte","2013","pubblica",1292,
"numero di scuole","valori assoluti","primaria","Piemonte","2014","pubblica",1286,
"numero di scuole","valori assoluti","primaria","Piemonte","2010","privata",72,
"numero di scuole","valori assoluti","primaria","Piemonte","2011","privata",77,
"numero di scuole","valori assoluti","primaria","Piemonte","2012","privata",80,
"numero di scuole","valori assoluti","primaria","Piemonte","2013","privata",80,
"numero di scuole","valori assoluti","primaria","Piemonte","2014","privata",78,
"numero di scuole","valori assoluti","primaria","Piemonte","2010","totale",1401,
"numero di scuole","valori assoluti","primaria","Piemonte","2011","totale",1389,
"numero di scuole","valori assoluti","primaria","Piemonte","2012","totale",1380,
"numero di scuole","valori assoluti","primaria","Piemonte","2013","totale",1372,
"numero di scuole","valori assoluti","primaria","Piemonte","2014","totale",1364,
"numero di scuole","valori assoluti","primaria","Piemonte","2010","statale",1326,
"numero di scuole","valori assoluti","primaria","Piemonte","2011","statale",1312,
"numero di scuole","valori assoluti","primaria","Piemonte","2012","statale",1300,
"numero di scuole","valori assoluti","primaria","Piemonte","2013","statale",1292,
"numero di scuole","valori assoluti","primaria","Piemonte","2014","statale",1286,
"numero di scuole","valori assoluti","primaria","Piemonte","2010","non statale pubblica",3,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2010","pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2012","pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2013","pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2014","pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2010","privata",3,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2011","privata",85,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2012","privata",3,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2013","privata",3,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2014","privata",3,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2010","totale",85,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2011","totale",85,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2012","totale",85,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2013","totale",85,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2014","totale",85,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2010","non statale pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2012","non statale pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2013","non statale pubblica",82,
"numero di scuole","valori assoluti","primaria","Valle d'Aosta / Vallée d'Aoste","2014","non statale pubblica",82,
"numero di scuole","valori assoluti","primaria","Liguria","2010","pubblica",437,
"numero di scuole","valori assoluti","primaria","Liguria","2011","pubblica",430,
"numero di scuole","valori assoluti","primaria","Liguria","2012","pubblica",428,
"numero di scuole","valori assoluti","primaria","Liguria","2013","pubblica",427,
"numero di scuole","valori assoluti","primaria","Liguria","2014","pubblica",427,
"numero di scuole","valori assoluti","primaria","Liguria","2010","privata",51,
"numero di scuole","valori assoluti","primaria","Liguria","2011","privata",53,
"numero di scuole","valori assoluti","primaria","Liguria","2012","privata",52,
"numero di scuole","valori assoluti","primaria","Liguria","2013","privata",52,
"numero di scuole","valori assoluti","primaria","Liguria","2014","privata",51,
"numero di scuole","valori assoluti","primaria","Liguria","2010","totale",488,
"numero di scuole","valori assoluti","primaria","Liguria","2011","totale",483,
"numero di scuole","valori assoluti","primaria","Liguria","2012","totale",480,
"numero di scuole","valori assoluti","primaria","Liguria","2013","totale",479,
"numero di scuole","valori assoluti","primaria","Liguria","2014","totale",478,
"numero di scuole","valori assoluti","primaria","Liguria","2010","statale",435,
"numero di scuole","valori assoluti","primaria","Liguria","2011","statale",430,
"numero di scuole","valori assoluti","primaria","Liguria","2012","statale",428,
"numero di scuole","valori assoluti","primaria","Liguria","2013","statale",427,
"numero di scuole","valori assoluti","primaria","Liguria","2014","statale",427,
"numero di scuole","valori assoluti","primaria","Liguria","2010","non statale pubblica",2,
"numero di scuole","valori assoluti","primaria","Lombardia","2010","pubblica",2217,
"numero di scuole","valori assoluti","primaria","Lombardia","2011","pubblica",2206,
"numero di scuole","valori assoluti","primaria","Lombardia","2012","pubblica",2195,
"numero di scuole","valori assoluti","primaria","Lombardia","2013","pubblica",2186,
"numero di scuole","valori assoluti","primaria","Lombardia","2014","pubblica",2177,
"numero di scuole","valori assoluti","primaria","Lombardia","2010","privata",234,
"numero di scuole","valori assoluti","primaria","Lombardia","2011","privata",236,
"numero di scuole","valori assoluti","primaria","Lombardia","2012","privata",240,
"numero di scuole","valori assoluti","primaria","Lombardia","2013","privata",242,
"numero di scuole","valori assoluti","primaria","Lombardia","2014","privata",243,
"numero di scuole","valori assoluti","primaria","Lombardia","2010","totale",2451,
"numero di scuole","valori assoluti","primaria","Lombardia","2011","totale",2442,
"numero di scuole","valori assoluti","primaria","Lombardia","2012","totale",2435,
"numero di scuole","valori assoluti","primaria","Lombardia","2013","totale",2428,
"numero di scuole","valori assoluti","primaria","Lombardia","2014","totale",2420,
"numero di scuole","valori assoluti","primaria","Lombardia","2010","statale",2215,
"numero di scuole","valori assoluti","primaria","Lombardia","2011","statale",2206,
"numero di scuole","valori assoluti","primaria","Lombardia","2012","statale",2195,
"numero di scuole","valori assoluti","primaria","Lombardia","2013","statale",2185,
"numero di scuole","valori assoluti","primaria","Lombardia","2014","statale",2176,
"numero di scuole","valori assoluti","primaria","Lombardia","2010","non statale pubblica",2,
"numero di scuole","valori assoluti","primaria","Lombardia","2013","non statale pubblica",1,
"numero di scuole","valori assoluti","primaria","Lombardia","2014","non statale pubblica",1,
"numero di scuole","valori assoluti","primaria","Nord-est","2010","pubblica",3311,
"numero di scuole","valori assoluti","primaria","Nord-est","2011","pubblica",3296,
"numero di scuole","valori assoluti","primaria","Nord-est","2012","pubblica",3264,
"numero di scuole","valori assoluti","primaria","Nord-est","2013","pubblica",3252,
"numero di scuole","valori assoluti","primaria","Nord-est","2014","pubblica",2919,
"numero di scuole","valori assoluti","primaria","Nord-est","2010","privata",200,
"numero di scuole","valori assoluti","primaria","Nord-est","2011","privata",204,
"numero di scuole","valori assoluti","primaria","Nord-est","2012","privata",209,
"numero di scuole","valori assoluti","primaria","Nord-est","2013","privata",210,
"numero di scuole","valori assoluti","primaria","Nord-est","2014","privata",206,
"numero di scuole","valori assoluti","primaria","Nord-est","2010","totale",3511,
"numero di scuole","valori assoluti","primaria","Nord-est","2011","totale",3500,
"numero di scuole","valori assoluti","primaria","Nord-est","2012","totale",3473,
"numero di scuole","valori assoluti","primaria","Nord-est","2013","totale",3462,
"numero di scuole","valori assoluti","primaria","Nord-est","2014","totale",3125,
"numero di scuole","valori assoluti","primaria","Nord-est","2010","statale",2760,
"numero di scuole","valori assoluti","primaria","Nord-est","2011","statale",2750,
"numero di scuole","valori assoluti","primaria","Nord-est","2012","statale",2724,
"numero di scuole","valori assoluti","primaria","Nord-est","2013","statale",2713,
"numero di scuole","valori assoluti","primaria","Nord-est","2014","statale",2704,
"numero di scuole","valori assoluti","primaria","Nord-est","2010","non statale pubblica",551,
"numero di scuole","valori assoluti","primaria","Nord-est","2011","non statale pubblica",546,
"numero di scuole","valori assoluti","primaria","Nord-est","2012","non statale pubblica",540,
"numero di scuole","valori assoluti","primaria","Nord-est","2013","non statale pubblica",539,
"numero di scuole","valori assoluti","primaria","Nord-est","2014","non statale pubblica",215,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2010","pubblica",548,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2011","pubblica",546,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2012","pubblica",540,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2013","pubblica",539,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2014","pubblica",215,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2010","privata",11,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2011","privata",9,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2012","privata",12,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2013","privata",12,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2014","privata",9,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2010","totale",559,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2011","totale",555,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2012","totale",552,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2013","totale",551,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2014","totale",224,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2010","non statale pubblica",548,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2011","non statale pubblica",546,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2012","non statale pubblica",540,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2013","non statale pubblica",539,
"numero di scuole","valori assoluti","primaria","Trentino Alto Adige / Südtirol","2014","non statale pubblica",215,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2011","pubblica",327,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2012","pubblica",324,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2013","pubblica",324,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2012","privata",3,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2013","privata",3,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2011","totale",327,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2012","totale",327,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2013","totale",327,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2011","non statale pubblica",327,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2012","non statale pubblica",324,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Bolzano / Bozen","2013","non statale pubblica",324,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2011","pubblica",219,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2012","pubblica",216,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2013","pubblica",215,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2014","pubblica",215,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2011","privata",9,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2012","privata",9,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2013","privata",9,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2014","privata",9,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2011","totale",228,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2012","totale",225,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2013","totale",224,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2014","totale",224,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2011","non statale pubblica",219,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2012","non statale pubblica",216,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2013","non statale pubblica",215,
"numero di scuole","valori assoluti","primaria","Provincia Autonoma Trento","2014","non statale pubblica",215,
"numero di scuole","valori assoluti","primaria","Veneto","2010","pubblica",1425,
"numero di scuole","valori assoluti","primaria","Veneto","2011","pubblica",1418,
"numero di scuole","valori assoluti","primaria","Veneto","2012","pubblica",1407,
"numero di scuole","valori assoluti","primaria","Veneto","2013","pubblica",1399,
"numero di scuole","valori assoluti","primaria","Veneto","2014","pubblica",1393,
"numero di scuole","valori assoluti","primaria","Veneto","2010","privata",91,
"numero di scuole","valori assoluti","primaria","Veneto","2011","privata",99,
"numero di scuole","valori assoluti","primaria","Veneto","2012","privata",99,
"numero di scuole","valori assoluti","primaria","Veneto","2013","privata",100,
"numero di scuole","valori assoluti","primaria","Veneto","2014","privata",99,
"numero di scuole","valori assoluti","primaria","Veneto","2010","totale",1516,
"numero di scuole","valori assoluti","primaria","Veneto","2011","totale",1517,
"numero di scuole","valori assoluti","primaria","Veneto","2012","totale",1506,
"numero di scuole","valori assoluti","primaria","Veneto","2013","totale",1499,
"numero di scuole","valori assoluti","primaria","Veneto","2014","totale",1492,
"numero di scuole","valori assoluti","primaria","Veneto","2010","statale",1422,
"numero di scuole","valori assoluti","primaria","Veneto","2011","statale",1418,
"numero di scuole","valori assoluti","primaria","Veneto","2012","statale",1407,
"numero di scuole","valori assoluti","primaria","Veneto","2013","statale",1399,
"numero di scuole","valori assoluti","primaria","Veneto","2014","statale",1393,
"numero di scuole","valori assoluti","primaria","Veneto","2010","non statale pubblica",3,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2010","pubblica",378,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2011","pubblica",375,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2012","pubblica",368,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2013","pubblica",365,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2014","pubblica",364,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2010","privata",22,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2011","privata",22,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2012","privata",23,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2013","privata",23,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2014","privata",23,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2010","totale",400,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2011","totale",397,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2012","totale",391,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2013","totale",388,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2014","totale",387,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2010","statale",378,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2011","statale",375,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2012","statale",368,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2013","statale",365,
"numero di scuole","valori assoluti","primaria","Friuli-Venezia Giulia","2014","statale",364,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2010","pubblica",960,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2011","pubblica",957,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2012","pubblica",949,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2013","pubblica",949,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2014","pubblica",947,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2010","privata",76,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2011","privata",74,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2012","privata",75,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2013","privata",75,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2014","privata",75,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2010","totale",1036,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2011","totale",1031,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2012","totale",1024,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2013","totale",1024,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2014","totale",1022,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2010","statale",960,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2011","statale",957,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2012","statale",949,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2013","statale",949,
"numero di scuole","valori assoluti","primaria","Emilia-Romagna","2014","statale",947,
"numero di scuole","valori assoluti","primaria","Centro","2010","pubblica",2840,
"numero di scuole","valori assoluti","primaria","Centro","2011","pubblica",2826,
"numero di scuole","valori assoluti","primaria","Centro","2012","pubblica",2799,
"numero di scuole","valori assoluti","primaria","Centro","2013","pubblica",2794,
"numero di scuole","valori assoluti","primaria","Centro","2014","pubblica",2791,
"numero di scuole","valori assoluti","primaria","Centro","2010","privata",335,
"numero di scuole","valori assoluti","primaria","Centro","2011","privata",332,
"numero di scuole","valori assoluti","primaria","Centro","2012","privata",334,
"numero di scuole","valori assoluti","primaria","Centro","2013","privata",332,
"numero di scuole","valori assoluti","primaria","Centro","2014","privata",330,
"numero di scuole","valori assoluti","primaria","Centro","2010","totale",3175,
"numero di scuole","valori assoluti","primaria","Centro","2011","totale",3158,
"numero di scuole","valori assoluti","primaria","Centro","2012","totale",3133,
"numero di scuole","valori assoluti","primaria","Centro","2013","totale",3126,
"numero di scuole","valori assoluti","primaria","Centro","2014","totale",3121,
"numero di scuole","valori assoluti","primaria","Centro","2010","statale",2840,
"numero di scuole","valori assoluti","primaria","Centro","2011","statale",2826,
"numero di scuole","valori assoluti","primaria","Centro","2012","statale",2799,
"numero di scuole","valori assoluti","primaria","Centro","2013","statale",2794,
"numero di scuole","valori assoluti","primaria","Centro","2014","statale",2791,
"numero di scuole","valori assoluti","primaria","Toscana","2010","pubblica",946,
"numero di scuole","valori assoluti","primaria","Toscana","2011","pubblica",941,
"numero di scuole","valori assoluti","primaria","Toscana","2012","pubblica",938,
"numero di scuole","valori assoluti","primaria","Toscana","2013","pubblica",935,
"numero di scuole","valori assoluti","primaria","Toscana","2014","pubblica",936,
"numero di scuole","valori assoluti","primaria","Toscana","2010","privata",85,
"numero di scuole","valori assoluti","primaria","Toscana","2011","privata",83,
"numero di scuole","valori assoluti","primaria","Toscana","2012","privata",84,
"numero di scuole","valori assoluti","primaria","Toscana","2013","privata",84,
"numero di scuole","valori assoluti","primaria","Toscana","2014","privata",85,
"numero di scuole","valori assoluti","primaria","Toscana","2010","totale",1031,
"numero di scuole","valori assoluti","primaria","Toscana","2011","totale",1024,
"numero di scuole","valori assoluti","primaria","Toscana","2012","totale",1022,
"numero di scuole","valori assoluti","primaria","Toscana","2013","totale",1019,
"numero di scuole","valori assoluti","primaria","Toscana","2014","totale",1021,
"numero di scuole","valori assoluti","primaria","Toscana","2010","statale",946,
"numero di scuole","valori assoluti","primaria","Toscana","2011","statale",941,
"numero di scuole","valori assoluti","primaria","Toscana","2012","statale",938,
"numero di scuole","valori assoluti","primaria","Toscana","2013","statale",935,
"numero di scuole","valori assoluti","primaria","Toscana","2014","statale",936,
"numero di scuole","valori assoluti","primaria","Umbria","2010","pubblica",297,
"numero di scuole","valori assoluti","primaria","Umbria","2011","pubblica",295,
"numero di scuole","valori assoluti","primaria","Umbria","2012","pubblica",290,
"numero di scuole","valori assoluti","primaria","Umbria","2013","pubblica",288,
"numero di scuole","valori assoluti","primaria","Umbria","2014","pubblica",287,
"numero di scuole","valori assoluti","primaria","Umbria","2010","privata",8,
"numero di scuole","valori assoluti","primaria","Umbria","2011","privata",9,
"numero di scuole","valori assoluti","primaria","Umbria","2012","privata",10,
"numero di scuole","valori assoluti","primaria","Umbria","2013","privata",10,
"numero di scuole","valori assoluti","primaria","Umbria","2014","privata",11,
"numero di scuole","valori assoluti","primaria","Umbria","2010","totale",305,
"numero di scuole","valori assoluti","primaria","Umbria","2011","totale",304,
"numero di scuole","valori assoluti","primaria","Umbria","2012","totale",300,
"numero di scuole","valori assoluti","primaria","Umbria","2013","totale",298,
"numero di scuole","valori assoluti","primaria","Umbria","2014","totale",298,
"numero di scuole","valori assoluti","primaria","Umbria","2010","statale",297,
"numero di scuole","valori assoluti","primaria","Umbria","2011","statale",295,
"numero di scuole","valori assoluti","primaria","Umbria","2012","statale",290,
"numero di scuole","valori assoluti","primaria","Umbria","2013","statale",288,
"numero di scuole","valori assoluti","primaria","Umbria","2014","statale",287,
"numero di scuole","valori assoluti","primaria","Marche","2010","pubblica",450,
"numero di scuole","valori assoluti","primaria","Marche","2011","pubblica",449,
"numero di scuole","valori assoluti","primaria","Marche","2012","pubblica",445,
"numero di scuole","valori assoluti","primaria","Marche","2013","pubblica",442,
"numero di scuole","valori assoluti","primaria","Marche","2014","pubblica",441,
"numero di scuole","valori assoluti","primaria","Marche","2010","privata",18,
"numero di scuole","valori assoluti","primaria","Marche","2011","privata",17,
"numero di scuole","valori assoluti","primaria","Marche","2012","privata",17,
"numero di scuole","valori assoluti","primaria","Marche","2013","privata",17,
"numero di scuole","valori assoluti","primaria","Marche","2014","privata",16,
"numero di scuole","valori assoluti","primaria","Marche","2010","totale",468,
"numero di scuole","valori assoluti","primaria","Marche","2011","totale",466,
"numero di scuole","valori assoluti","primaria","Marche","2012","totale",462,
"numero di scuole","valori assoluti","primaria","Marche","2013","totale",459,
"numero di scuole","valori assoluti","primaria","Marche","2014","totale",457,
"numero di scuole","valori assoluti","primaria","Marche","2010","statale",450,
"numero di scuole","valori assoluti","primaria","Marche","2011","statale",449,
"numero di scuole","valori assoluti","primaria","Marche","2012","statale",445,
"numero di scuole","valori assoluti","primaria","Marche","2013","statale",442,
"numero di scuole","valori assoluti","primaria","Marche","2014","statale",441,
"numero di scuole","valori assoluti","primaria","Lazio","2010","pubblica",1147,
"numero di scuole","valori assoluti","primaria","Lazio","2011","pubblica",1141,
"numero di scuole","valori assoluti","primaria","Lazio","2012","pubblica",1126,
"numero di scuole","valori assoluti","primaria","Lazio","2013","pubblica",1129,
"numero di scuole","valori assoluti","primaria","Lazio","2014","pubblica",1127,
"numero di scuole","valori assoluti","primaria","Lazio","2010","privata",224,
"numero di scuole","valori assoluti","primaria","Lazio","2011","privata",223,
"numero di scuole","valori assoluti","primaria","Lazio","2012","privata",223,
"numero di scuole","valori assoluti","primaria","Lazio","2013","privata",221,
"numero di scuole","valori assoluti","primaria","Lazio","2014","privata",218,
"numero di scuole","valori assoluti","primaria","Lazio","2010","totale",1371,
"numero di scuole","valori assoluti","primaria","Lazio","2011","totale",1364,
"numero di scuole","valori assoluti","primaria","Lazio","2012","totale",1349,
"numero di scuole","valori assoluti","primaria","Lazio","2013","totale",1350,
"numero di scuole","valori assoluti","primaria","Lazio","2014","totale",1345,
"numero di scuole","valori assoluti","primaria","Lazio","2010","statale",1147,
"numero di scuole","valori assoluti","primaria","Lazio","2011","statale",1141,
"numero di scuole","valori assoluti","primaria","Lazio","2012","statale",1126,
"numero di scuole","valori assoluti","primaria","Lazio","2013","statale",1129,
"numero di scuole","valori assoluti","primaria","Lazio","2014","statale",1127,
"numero di scuole","valori assoluti","primaria","Sud","2010","pubblica",4095,
"numero di scuole","valori assoluti","primaria","Sud","2011","pubblica",4038,
"numero di scuole","valori assoluti","primaria","Sud","2012","pubblica",3974,
"numero di scuole","valori assoluti","primaria","Sud","2013","pubblica",3899,
"numero di scuole","valori assoluti","primaria","Sud","2014","pubblica",3881,
